"","id","county_name","state_name","population"
"1","01003","Baldwin","Alabama",1
"2","01007","Bibb","Alabama",1
"3","01015","Calhoun","Alabama",1
"4","01045","Dale","Alabama",1
"5","01051","Elmore","Alabama",1
"6","01055","Etowah","Alabama",2
"7","01067","Henry","Alabama",1
"8","01073","Jefferson","Alabama",11
"9","01081","Lee","Alabama",5
"10","01083","Limestone","Alabama",2
"11","01085","Lowndes","Alabama",1
"12","01089","Madison","Alabama",12
"13","01097","Mobile","Alabama",1
"14","01101","Montgomery","Alabama",7
"15","01105","Perry","Alabama",1
"16","01109","Pike","Alabama",1
"17","01117","Shelby","Alabama",3
"18","01119","Sumter","Alabama",1
"19","01121","Talladega","Alabama",1
"20","01123","Tallapoosa","Alabama",2
"21","01125","Tuscaloosa","Alabama",2
"22","01133","Winston","Alabama",2
"23","02020","Anchorage","Alaska",5
"24","02050","Bethel","Alaska",1
"25","02090","Fairbanks North Star","Alaska",1
"26","02110","Juneau","Alaska",2
"27","02122","Kenai Peninsula","Alaska",1
"28","02275","Wrangell","Alaska",1
"29","04005","Coconino","Arizona",4
"30","04013","Maricopa","Arizona",99
"31","04015","Mohave","Arizona",1
"32","04019","Pima","Arizona",17
"33","04021","Pinal","Arizona",6
"34","04027","Yuma","Arizona",2
"35","05005","Baxter","Arkansas",1
"36","05007","Benton","Arkansas",7
"37","05013","Calhoun","Arkansas",1
"38","05023","Cleburne","Arkansas",4
"39","05029","Conway","Arkansas",1
"40","05039","Dallas","Arkansas",1
"41","05043","Drew","Arkansas",1
"42","05045","Faulkner","Arkansas",1
"43","05065","Izard","Arkansas",1
"44","05081","Little River","Arkansas",1
"45","05091","Miller","Arkansas",1
"46","05093","Mississippi","Arkansas",2
"47","05115","Pope","Arkansas",1
"48","05119","Pulaski","Arkansas",5
"49","05131","Sebastian","Arkansas",2
"50","05143","Washington","Arkansas",5
"51","06001","Alameda","California",303
"52","06007","Butte","California",3
"53","06009","Calaveras","California",1
"54","06013","Contra Costa","California",129
"55","06017","El Dorado","California",6
"56","06019","Fresno","California",10
"57","06025","Imperial","California",1
"58","06029","Kern","California",5
"59","06033","Lake","California",1
"60","06037","Los Angeles","California",286
"61","06041","Marin","California",12
"62","06045","Mendocino","California",1
"63","06051","Mono","California",1
"64","06053","Monterey","California",16
"65","06055","Napa","California",1
"66","06059","Orange","California",194
"67","06061","Placer","California",12
"68","06063","Plumas","California",1
"69","06065","Riverside","California",38
"70","06067","Sacramento","California",35
"71","06071","San Bernardino","California",26
"72","06073","San Diego","California",156
"73","06075","San Francisco","California",55
"74","06077","San Joaquin","California",8
"75","06079","San Luis Obispo","California",4
"76","06081","San Mateo","California",78
"77","06083","Santa Barbara","California",6
"78","06085","Santa Clara","California",693
"79","06087","Santa Cruz","California",7
"80","06089","Shasta","California",1
"81","06095","Solano","California",10
"82","06097","Sonoma","California",11
"83","06099","Stanislaus","California",3
"84","06103","Tehama","California",1
"85","06107","Tulare","California",5
"86","06111","Ventura","California",24
"87","06113","Yolo","California",9
"88","08001","Adams","Colorado",8
"89","08005","Arapahoe","Colorado",19
"90","08013","Boulder","Colorado",16
"91","08014","Broomfield","Colorado",7
"92","08019","Clear Creek","Colorado",2
"93","08031","Denver","Colorado",23
"94","08035","Douglas","Colorado",19
"95","08037","Eagle","Colorado",1
"96","08041","El Paso","Colorado",11
"97","08045","Garfield","Colorado",2
"98","08047","Gilpin","Colorado",1
"99","08059","Jefferson","Colorado",22
"100","08067","La Plata","Colorado",3
"101","08069","Larimer","Colorado",14
"102","08077","Mesa","Colorado",1
"103","08089","Otero","Colorado",1
"104","08093","Park","Colorado",1
"105","08095","Phillips","Colorado",1
"106","08101","Pueblo","Colorado",1
"107","08105","Rio Grande","Colorado",1
"108","08109","Saguache","Colorado",1
"109","08117","Summit","Colorado",1
"110","08123","Weld","Colorado",9
"111","09001","Fairfield","Connecticut",52
"112","09003","Hartford","Connecticut",49
"113","09005","Litchfield","Connecticut",2
"114","09007","Middlesex","Connecticut",2
"115","09009","New Haven","Connecticut",29
"116","09011","New London","Connecticut",15
"117","09013","Tolland","Connecticut",4
"118","09015","Windham","Connecticut",4
"119","10003","New Castle","Delaware",18
"120","11001","District of Columbia","District of Columbia",266
"121","12001","Alachua","Florida",3
"122","12005","Bay","Florida",1
"123","12007","Bradford","Florida",1
"124","12009","Brevard","Florida",12
"125","12011","Broward","Florida",48
"126","12013","Calhoun","Florida",1
"127","12015","Charlotte","Florida",1
"128","12017","Citrus","Florida",2
"129","12019","Clay","Florida",5
"130","12021","Collier","Florida",3
"131","12023","Columbia","Florida",1
"132","12031","Duval","Florida",16
"133","12033","Escambia","Florida",5
"134","12035","Flagler","Florida",1
"135","12041","Gilchrist","Florida",1
"136","12057","Hillsborough","Florida",24
"137","12061","Indian River","Florida",1
"138","12063","Jackson","Florida",3
"139","12067","Lafayette","Florida",1
"140","12069","Lake","Florida",2
"141","12071","Lee","Florida",15
"142","12073","Leon","Florida",3
"143","12077","Liberty","Florida",1
"144","12079","Madison","Florida",2
"145","12081","Manatee","Florida",8
"146","12083","Marion","Florida",3
"147","12085","Martin","Florida",2
"148","12086","Miami-Dade","Florida",38
"149","12091","Okaloosa","Florida",7
"150","12095","Orange","Florida",34
"151","12097","Osceola","Florida",9
"152","12099","Palm Beach","Florida",30
"153","12101","Pasco","Florida",7
"154","12103","Pinellas","Florida",9
"155","12105","Polk","Florida",11
"156","12109","St. Johns","Florida",8
"157","12111","St. Lucie","Florida",1
"158","12113","Santa Rosa","Florida",1
"159","12115","Sarasota","Florida",5
"160","12117","Seminole","Florida",15
"161","12127","Volusia","Florida",4
"162","12131","Walton","Florida",3
"163","12133","Washington","Florida",1
"164","13005","Bacon","Georgia",2
"165","13013","Barrow","Georgia",2
"166","13017","Ben Hill","Georgia",1
"167","13021","Bibb","Georgia",5
"168","13029","Bryan","Georgia",3
"169","13047","Catoosa","Georgia",1
"170","13051","Chatham","Georgia",4
"171","13053","Chattahoochee","Georgia",3
"172","13057","Cherokee","Georgia",6
"173","13059","Clarke","Georgia",4
"174","13067","Cobb","Georgia",30
"175","13069","Coffee","Georgia",3
"176","13071","Colquitt","Georgia",1
"177","13073","Columbia","Georgia",4
"178","13075","Cook","Georgia",1
"179","13077","Coweta","Georgia",2
"180","13079","Crawford","Georgia",1
"181","13089","DeKalb","Georgia",22
"182","13091","Dodge","Georgia",1
"183","13093","Dooly","Georgia",2
"184","13095","Dougherty","Georgia",1
"185","13097","Douglas","Georgia",1
"186","13107","Emanuel","Georgia",18
"187","13113","Fayette","Georgia",6
"188","13115","Floyd","Georgia",3
"189","13117","Forsyth","Georgia",13
"190","13121","Fulton","Georgia",89
"191","13127","Glynn","Georgia",5
"192","13129","Gordon","Georgia",2
"193","13135","Gwinnett","Georgia",54
"194","13139","Hall","Georgia",1
"195","13151","Henry","Georgia",2
"196","13153","Houston","Georgia",23
"197","13169","Jones","Georgia",1
"198","13175","Laurens","Georgia",3
"199","13179","Liberty","Georgia",1
"200","13185","Lowndes","Georgia",2
"201","13195","Madison","Georgia",1
"202","13199","Meriwether","Georgia",2
"203","13207","Monroe","Georgia",1
"204","13215","Muscogee","Georgia",2
"205","13217","Newton","Georgia",6
"206","13237","Putnam","Georgia",1
"207","13245","Richmond","Georgia",1
"208","13247","Rockdale","Georgia",4
"209","13269","Taylor","Georgia",1
"210","13271","Telfair","Georgia",1
"211","13275","Thomas","Georgia",2
"212","13289","Twiggs","Georgia",2
"213","13295","Walker","Georgia",1
"214","13297","Walton","Georgia",2
"215","13299","Ware","Georgia",9
"216","13305","Wayne","Georgia",4
"217","13313","Whitfield","Georgia",1
"218","13315","Wilcox","Georgia",55
"219","13319","Wilkinson","Georgia",7
"220","15001","Hawaii","Hawaii",3
"221","15003","Honolulu","Hawaii",17
"222","16001","Ada","Idaho",5
"223","16019","Bonneville","Idaho",2
"224","16027","Canyon","Idaho",1
"225","16039","Elmore","Idaho",7
"226","16055","Kootenai","Idaho",2
"227","16077","Power","Idaho",1
"228","17001","Adams","Illinois",43
"229","17005","Bond","Illinois",14
"230","17007","Boone","Illinois",87
"231","17009","Brown","Illinois",6
"232","17011","Bureau","Illinois",37
"233","17013","Calhoun","Illinois",3
"234","17015","Carroll","Illinois",18
"235","17017","Cass","Illinois",10
"236","17019","Champaign","Illinois",5526
"237","17021","Christian","Illinois",31
"238","17023","Clark","Illinois",15
"239","17025","Clay","Illinois",4
"240","17027","Clinton","Illinois",31
"241","17029","Coles","Illinois",73
"242","17031","Cook","Illinois",12611
"243","17033","Crawford","Illinois",9
"244","17035","Cumberland","Illinois",17
"245","17037","DeKalb","Illinois",136
"246","17039","De Witt","Illinois",38
"247","17041","Douglas","Illinois",79
"248","17043","DuPage","Illinois",3716
"249","17045","Edgar","Illinois",18
"250","17047","Edwards","Illinois",2
"251","17049","Effingham","Illinois",70
"252","17051","Fayette","Illinois",11
"253","17053","Ford","Illinois",46
"254","17055","Franklin","Illinois",15
"255","17057","Fulton","Illinois",39
"256","17059","Gallatin","Illinois",3
"257","17061","Greene","Illinois",9
"258","17063","Grundy","Illinois",45
"259","17065","Hamilton","Illinois",2
"260","17067","Hancock","Illinois",14
"261","17071","Henderson","Illinois",1
"262","17073","Henry","Illinois",58
"263","17075","Iroquois","Illinois",67
"264","17077","Jackson","Illinois",58
"265","17079","Jasper","Illinois",8
"266","17081","Jefferson","Illinois",24
"267","17083","Jersey","Illinois",21
"268","17085","Jo Daviess","Illinois",24
"269","17087","Johnson","Illinois",6
"270","17089","Kane","Illinois",928
"271","17091","Kankakee","Illinois",126
"272","17093","Kendall","Illinois",171
"273","17095","Knox","Illinois",36
"274","17097","Lake","Illinois",2642
"275","17099","LaSalle","Illinois",136
"276","17101","Lawrence","Illinois",17
"277","17103","Lee","Illinois",34
"278","17105","Livingston","Illinois",59
"279","17107","Logan","Illinois",34
"280","17109","McDonough","Illinois",36
"281","17111","McHenry","Illinois",654
"282","17113","McLean","Illinois",427
"283","17115","Macon","Illinois",159
"284","17117","Macoupin","Illinois",44
"285","17119","Madison","Illinois",201
"286","17121","Marion","Illinois",31
"287","17123","Marshall","Illinois",12
"288","17125","Mason","Illinois",18
"289","17127","Massac","Illinois",7
"290","17129","Menard","Illinois",12
"291","17131","Mercer","Illinois",15
"292","17133","Monroe","Illinois",50
"293","17135","Montgomery","Illinois",28
"294","17137","Morgan","Illinois",30
"295","17139","Moultrie","Illinois",41
"296","17141","Ogle","Illinois",75
"297","17143","Peoria","Illinois",329
"298","17145","Perry","Illinois",10
"299","17147","Piatt","Illinois",128
"300","17149","Pike","Illinois",21
"301","17151","Pope","Illinois",2
"302","17153","Pulaski","Illinois",3
"303","17155","Putnam","Illinois",8
"304","17157","Randolph","Illinois",6
"305","17159","Richland","Illinois",22
"306","17161","Rock Island","Illinois",84
"307","17163","St. Clair","Illinois",191
"308","17165","Saline","Illinois",13
"309","17167","Sangamon","Illinois",333
"310","17169","Schuyler","Illinois",5
"311","17171","Scott","Illinois",7
"312","17173","Shelby","Illinois",23
"313","17175","Stark","Illinois",9
"314","17177","Stephenson","Illinois",39
"315","17179","Tazewell","Illinois",179
"316","17181","Union","Illinois",10
"317","17183","Vermilion","Illinois",118
"318","17185","Wabash","Illinois",5
"319","17187","Warren","Illinois",14
"320","17189","Washington","Illinois",18
"321","17191","Wayne","Illinois",8
"322","17193","White","Illinois",15
"323","17195","Whiteside","Illinois",43
"324","17197","Will","Illinois",1903
"325","17199","Williamson","Illinois",52
"326","17201","Winnebago","Illinois",221
"327","17203","Woodford","Illinois",42
"328","18003","Allen","Indiana",3
