"","county_fips","county_name","state_name","population","id"
"135","05041","Desha","Arkansas",0,"05041"
"136","05043","Drew","Arkansas",1,"05043"
"137","05045","Faulkner","Arkansas",0,"05045"
"138","05047","Franklin","Arkansas",0,"05047"
"139","05049","Fulton","Arkansas",0,"05049"
"140","05051","Garland","Arkansas",0,"05051"
"141","05053","Grant","Arkansas",0,"05053"
"142","05055","Greene","Arkansas",0,"05055"
"143","05057","Hempstead","Arkansas",0,"05057"
"144","05059","Hot Spring","Arkansas",0,"05059"
"145","05061","Howard","Arkansas",0,"05061"
"146","05063","Independence","Arkansas",1,"05063"
"147","05065","Izard","Arkansas",1,"05065"
"148","05067","Jackson","Arkansas",0,"05067"
"149","05069","Jefferson","Arkansas",1,"05069"
"150","05071","Johnson","Arkansas",0,"05071"
"151","05073","Lafayette","Arkansas",0,"05073"
"152","05075","Lawrence","Arkansas",0,"05075"
"153","05077","Lee","Arkansas",0,"05077"
"154","05079","Lincoln","Arkansas",0,"05079"
"155","05081","Little River","Arkansas",0,"05081"
"156","05083","Logan","Arkansas",0,"05083"
"157","05085","Lonoke","Arkansas",0,"05085"
"158","05087","Madison","Arkansas",0,"05087"
"159","05089","Marion","Arkansas",1,"05089"
"160","05091","Miller","Arkansas",1,"05091"
"161","05093","Mississippi","Arkansas",0,"05093"
"162","05095","Monroe","Arkansas",0,"05095"
"163","05097","Montgomery","Arkansas",1,"05097"
"164","05099","Nevada","Arkansas",0,"05099"
"165","05101","Newton","Arkansas",0,"05101"
"166","05103","Ouachita","Arkansas",0,"05103"
"167","05105","Perry","Arkansas",0,"05105"
"168","05107","Phillips","Arkansas",0,"05107"
"169","05109","Pike","Arkansas",0,"05109"
"170","05111","Poinsett","Arkansas",0,"05111"
"171","05113","Polk","Arkansas",0,"05113"
"172","05115","Pope","Arkansas",1,"05115"
"173","05117","Prairie","Arkansas",0,"05117"
"174","05119","Pulaski","Arkansas",7,"05119"
"175","05121","Randolph","Arkansas",0,"05121"
"176","05123","St. Francis","Arkansas",0,"05123"
"177","05125","Saline","Arkansas",0,"05125"
"178","05127","Scott","Arkansas",0,"05127"
"179","05129","Searcy","Arkansas",0,"05129"
"180","05131","Sebastian","Arkansas",2,"05131"
"181","05133","Sevier","Arkansas",0,"05133"
"182","05135","Sharp","Arkansas",0,"05135"
"183","05137","Stone","Arkansas",0,"05137"
"184","05139","Union","Arkansas",0,"05139"
"185","05141","Van Buren","Arkansas",0,"05141"
"186","05143","Washington","Arkansas",5,"05143"
"187","05145","White","Arkansas",1,"05145"
"188","05147","Woodruff","Arkansas",0,"05147"
"189","05149","Yell","Arkansas",0,"05149"
"190","47167","Tipton","Arkansas",0,"47167"
"191","06001","Alameda","California",345,"06001"
"192","06003","Alpine","California",0,"06003"
"193","06005","Amador","California",0,"06005"
"194","06007","Butte","California",3,"06007"
"195","06009","Calaveras","California",1,"06009"
"196","06011","Colusa","California",0,"06011"
"197","06013","Contra Costa","California",126,"06013"
"198","06015","Del Norte","California",0,"06015"
"199","06017","El Dorado","California",4,"06017"
"200","06019","Fresno","California",10,"06019"
"201","06021","Glenn","California",0,"06021"
"202","06023","Humboldt","California",1,"06023"
"203","06025","Imperial","California",1,"06025"
"204","06027","Inyo","California",0,"06027"
"205","06029","Kern","California",3,"06029"
"206","06031","Kings","California",0,"06031"
"207","06033","Lake","California",1,"06033"
"208","06035","Lassen","California",0,"06035"
"209","06037","Los Angeles","California",338,"06037"
"210","06039","Madera","California",0,"06039"
"211","06041","Marin","California",15,"06041"
"212","06043","Mariposa","California",0,"06043"
"213","06045","Mendocino","California",1,"06045"
"214","06047","Merced","California",0,"06047"
"215","06049","Modoc","California",0,"06049"
"216","06051","Mono","California",1,"06051"
"217","06053","Monterey","California",20,"06053"
"218","06055","Napa","California",1,"06055"
"219","06057","Nevada","California",0,"06057"
"220","06059","Orange","California",231,"06059"
"221","06061","Placer","California",12,"06061"
"222","06063","Plumas","California",0,"06063"
"223","06065","Riverside","California",33,"06065"
"224","06067","Sacramento","California",39,"06067"
"225","06069","San Benito","California",0,"06069"
"226","06071","San Bernardino","California",29,"06071"
"227","06073","San Diego","California",172,"06073"
"228","06075","San Francisco","California",74,"06075"
"229","06077","San Joaquin","California",14,"06077"
"230","06079","San Luis Obispo","California",7,"06079"
"231","06081","San Mateo","California",106,"06081"
"232","06083","Santa Barbara","California",7,"06083"
"233","06085","Santa Clara","California",776,"06085"
"234","06087","Santa Cruz","California",10,"06087"
"235","06089","Shasta","California",1,"06089"
"236","06091","Sierra","California",0,"06091"
"237","06093","Siskiyou","California",0,"06093"
"238","06095","Solano","California",9,"06095"
"239","06097","Sonoma","California",8,"06097"
"240","06099","Stanislaus","California",3,"06099"
"241","06101","Sutter","California",0,"06101"
"242","06103","Tehama","California",0,"06103"
"243","06105","Trinity","California",0,"06105"
"244","06107","Tulare","California",7,"06107"
"245","06109","Tuolumne","California",0,"06109"
"246","06111","Ventura","California",25,"06111"
"247","06113","Yolo","California",10,"06113"
"248","06115","Yuba","California",1,"06115"
"249","08001","Adams","Colorado",10,"08001"
"250","08003","Alamosa","Colorado",0,"08003"
"251","08005","Arapahoe","Colorado",24,"08005"
"252","08007","Archuleta","Colorado",1,"08007"
"253","08009","Baca","Colorado",0,"08009"
"254","08011","Bent","Colorado",0,"08011"
"255","08013","Boulder","Colorado",21,"08013"
"256","08014","Broomfield","Colorado",10,"08014"
"257","08015","Chaffee","Colorado",1,"08015"
"258","08017","Cheyenne","Colorado",0,"08017"
"259","08019","Clear Creek","Colorado",3,"08019"
"260","08021","Conejos","Colorado",0,"08021"
"261","08023","Costilla","Colorado",0,"08023"
"262","08025","Crowley","Colorado",0,"08025"
"263","08027","Custer","Colorado",0,"08027"
"264","08029","Delta","Colorado",0,"08029"
"265","08031","Denver","Colorado",24,"08031"
"266","08033","Dolores","Colorado",0,"08033"
"267","08035","Douglas","Colorado",21,"08035"
"268","08037","Eagle","Colorado",2,"08037"
"269","08039","Elbert","Colorado",0,"08039"
"270","08041","El Paso","Colorado",10,"08041"
"271","08043","Fremont","Colorado",0,"08043"
"272","08045","Garfield","Colorado",1,"08045"
"273","08047","Gilpin","Colorado",1,"08047"
"274","08049","Grand","Colorado",0,"08049"
"275","08051","Gunnison","Colorado",0,"08051"
"276","08053","Hinsdale","Colorado",0,"08053"
"277","08055","Huerfano","Colorado",0,"08055"
"278","08057","Jackson","Colorado",0,"08057"
"279","08059","Jefferson","Colorado",26,"08059"
"280","08061","Kiowa","Colorado",0,"08061"
"281","08063","Kit Carson","Colorado",0,"08063"
"282","08065","Lake","Colorado",0,"08065"
"283","08067","La Plata","Colorado",3,"08067"
"284","08069","Larimer","Colorado",11,"08069"
"285","08071","Las Animas","Colorado",0,"08071"
"286","08073","Lincoln","Colorado",0,"08073"
"287","08075","Logan","Colorado",0,"08075"
"288","08077","Mesa","Colorado",1,"08077"
"289","08079","Mineral","Colorado",0,"08079"
"290","08081","Moffat","Colorado",0,"08081"
"291","08083","Montezuma","Colorado",0,"08083"
"292","08085","Montrose","Colorado",0,"08085"
"293","08087","Morgan","Colorado",0,"08087"
"294","08089","Otero","Colorado",1,"08089"
"295","08091","Ouray","Colorado",0,"08091"
"296","08093","Park","Colorado",1,"08093"
"297","08095","Phillips","Colorado",1,"08095"
"298","08097","Pitkin","Colorado",0,"08097"
"299","08099","Prowers","Colorado",0,"08099"
"300","08101","Pueblo","Colorado",0,"08101"
"301","08103","Rio Blanco","Colorado",0,"08103"
"302","08105","Rio Grande","Colorado",1,"08105"
"303","08107","Routt","Colorado",0,"08107"
"304","08109","Saguache","Colorado",0,"08109"
"305","08111","San Juan","Colorado",0,"08111"
"306","08113","San Miguel","Colorado",0,"08113"
"307","08115","Sedgwick","Colorado",0,"08115"
"308","08117","Summit","Colorado",1,"08117"
"309","08119","Teller","Colorado",0,"08119"
"310","08121","Washington","Colorado",0,"08121"
"311","08123","Weld","Colorado",9,"08123"
"312","08125","Yuma","Colorado",0,"08125"
"313","09001","Fairfield","Connecticut",59,"09001"
"314","09003","Hartford","Connecticut",51,"09003"
"315","09005","Litchfield","Connecticut",3,"09005"
"316","09007","Middlesex","Connecticut",5,"09007"
"317","09009","New Haven","Connecticut",28,"09009"
"318","09011","New London","Connecticut",13,"09011"
"319","09013","Tolland","Connecticut",6,"09013"
"320","09015","Windham","Connecticut",6,"09015"
"321","10001","Kent","Delaware",0,"10001"
"322","10003","New Castle","Delaware",17,"10003"
"323","10005","Sussex","Delaware",0,"10005"
"324","11001","District of Columbia","District of Columbia",246,"11001"
"325","12001","Alachua","Florida",5,"12001"
"326","12003","Baker","Florida",0,"12003"
"327","12005","Bay","Florida",2,"12005"
"328","12007","Bradford","Florida",0,"12007"
"329","12009","Brevard","Florida",9,"12009"
"330","12011","Broward","Florida",45,"12011"
"331","12013","Calhoun","Florida",1,"12013"
"332","12015","Charlotte","Florida",2,"12015"
"333","12017","Citrus","Florida",2,"12017"
"334","12019","Clay","Florida",5,"12019"
"335","12021","Collier","Florida",5,"12021"
"336","12023","Columbia","Florida",0,"12023"
"337","12027","DeSoto","Florida",0,"12027"
"338","12029","Dixie","Florida",0,"12029"
"339","12031","Duval","Florida",24,"12031"
"340","12033","Escambia","Florida",7,"12033"
"341","12035","Flagler","Florida",1,"12035"
"342","12037","Franklin","Florida",0,"12037"
"343","12039","Gadsden","Florida",0,"12039"
"344","12041","Gilchrist","Florida",0,"12041"
"345","12043","Glades","Florida",0,"12043"
"346","12045","Gulf","Florida",0,"12045"
"347","12047","Hamilton","Florida",0,"12047"
"348","12049","Hardee","Florida",0,"12049"
"349","12051","Hendry","Florida",0,"12051"
"350","12053","Hernando","Florida",0,"12053"
"351","12055","Highlands","Florida",0,"12055"
"352","12057","Hillsborough","Florida",38,"12057"
"353","12059","Holmes","Florida",0,"12059"
"354","12061","Indian River","Florida",0,"12061"
"355","12063","Jackson","Florida",4,"12063"
"356","12065","Jefferson","Florida",0,"12065"
"357","12067","Lafayette","Florida",2,"12067"
"358","12069","Lake","Florida",3,"12069"
"359","12071","Lee","Florida",11,"12071"
"360","12073","Leon","Florida",4,"12073"
"361","12075","Levy","Florida",0,"12075"
"362","12077","Liberty","Florida",1,"12077"
"363","12079","Madison","Florida",4,"12079"
"364","12081","Manatee","Florida",7,"12081"
"365","12083","Marion","Florida",1,"12083"
"366","12085","Martin","Florida",2,"12085"
"367","12086","Miami-Dade","Florida",47,"12086"
"368","12087","Monroe","Florida",1,"12087"
"369","12089","Nassau","Florida",3,"12089"
"370","12091","Okaloosa","Florida",6,"12091"
"371","12093","Okeechobee","Florida",0,"12093"
"372","12095","Orange","Florida",46,"12095"
"373","12097","Osceola","Florida",10,"12097"
"374","12099","Palm Beach","Florida",36,"12099"
"375","12101","Pasco","Florida",6,"12101"
"376","12103","Pinellas","Florida",15,"12103"
"377","12105","Polk","Florida",7,"12105"
"378","12107","Putnam","Florida",0,"12107"
"379","12109","St. Johns","Florida",7,"12109"
"380","12111","St. Lucie","Florida",1,"12111"
"381","12113","Santa Rosa","Florida",2,"12113"
"382","12115","Sarasota","Florida",7,"12115"
"383","12117","Seminole","Florida",19,"12117"
"384","12119","Sumter","Florida",0,"12119"
"385","12121","Suwannee","Florida",0,"12121"
"386","12123","Taylor","Florida",0,"12123"
"387","12125","Union","Florida",0,"12125"
"388","12127","Volusia","Florida",8,"12127"
"389","12129","Wakulla","Florida",0,"12129"
"390","12131","Walton","Florida",2,"12131"
"391","12133","Washington","Florida",1,"12133"
"392","13001","Appling","Georgia",0,"13001"
"393","13003","Atkinson","Georgia",0,"13003"
"394","13005","Bacon","Georgia",5,"13005"
"395","13007","Baker","Georgia",0,"13007"
"396","13009","Baldwin","Georgia",0,"13009"
"397","13011","Banks","Georgia",0,"13011"
"398","13013","Barrow","Georgia",3,"13013"
"399","13015","Bartow","Georgia",1,"13015"
"400","13017","Ben Hill","Georgia",1,"13017"
"401","13019","Berrien","Georgia",0,"13019"
"402","13021","Bibb","Georgia",5,"13021"
