"","state_name","state_id","population"
"1","Alabama","AL",74
"2","Alaska","AK",10
"3","American Samoa","AS",0
"4","Arizona","AZ",170
"5","Arkansas","AR",53
"6","California","CA",2832
"7","Colorado","CO",214
"8","Connecticut","CT",173
"9","Delaware","DE",23
"10","District of Columbia","DC",263
"11","Florida","FL",477
"12","Georgia","GA",480
"13","Guam","GU",1
"14","Hawaii","HI",28
"15","Idaho","ID",38
"16","Illinois","IL",33958
"17","Indiana","IN",284
"18","Iowa","IA",292
"19","Kansas","KS",91
"20","Kentucky","KY",307
"21","Louisiana","LA",170
"22","Maine","ME",41
"23","Maryland","MD",344
"24","Massachusetts","MA",341
"25","Michigan","MI",413
"26","Minnesota","MN",367
"27","Mississippi","MS",29
"28","Missouri","MO",315
"29","Montana","MT",16
"30","Nebraska","NE",46
"31","Nevada","NV",52
"32","New Hampshire","NH",37
"33","New Jersey","NJ",741
"34","New Mexico","NM",39
"35","New York","NY",1210
"36","North Carolina","NC",242
"37","North Dakota","ND",13
"38","Northern Mariana Islands","MP",1
"39","Ohio","OH",485
"40","Oklahoma","OK",67
"41","Oregon","OR",137
"42","Pennsylvania","PA",460
"43","Puerto Rico","PR",44
"44","Rhode Island","RI",24
"45","South Carolina","SC",50
"46","South Dakota","SD",29
"47","Tennessee","TN",170
"48","Texas","TX",841
"49","Utah","UT",83
"50","Vermont","VT",19
"51","Virgin Islands","VI",0
"52","Virginia","VA",660
"53","Washington","WA",436
"54","West Virginia","WV",81
"55","Wisconsin","WI",267
"56","Wyoming","WY",14
