"","county_fips","county_name","state_name","state_id","population","id"
"119","05009","Boone","Arkansas","AR",0,"05009"
"120","05011","Bradley","Arkansas","AR",0,"05011"
"121","05013","Calhoun","Arkansas","AR",1,"05013"
"122","05015","Carroll","Arkansas","AR",0,"05015"
"123","05017","Chicot","Arkansas","AR",0,"05017"
"124","05019","Clark","Arkansas","AR",0,"05019"
"125","05021","Clay","Arkansas","AR",1,"05021"
"126","05023","Cleburne","Arkansas","AR",4,"05023"
"127","05025","Cleveland","Arkansas","AR",0,"05025"
"128","05027","Columbia","Arkansas","AR",0,"05027"
"129","05029","Conway","Arkansas","AR",1,"05029"
"130","05031","Craighead","Arkansas","AR",2,"05031"
"131","05033","Crawford","Arkansas","AR",0,"05033"
"132","05035","Crittenden","Arkansas","AR",0,"05035"
"133","05037","Cross","Arkansas","AR",0,"05037"
"134","05039","Dallas","Arkansas","AR",0,"05039"
"135","05041","Desha","Arkansas","AR",0,"05041"
"136","05043","Drew","Arkansas","AR",1,"05043"
"137","05045","Faulkner","Arkansas","AR",0,"05045"
"138","05047","Franklin","Arkansas","AR",1,"05047"
"139","05049","Fulton","Arkansas","AR",0,"05049"
"140","05051","Garland","Arkansas","AR",1,"05051"
"141","05053","Grant","Arkansas","AR",0,"05053"
"142","05055","Greene","Arkansas","AR",0,"05055"
"143","05057","Hempstead","Arkansas","AR",0,"05057"
"144","05059","Hot Spring","Arkansas","AR",0,"05059"
"145","05061","Howard","Arkansas","AR",0,"05061"
"146","05063","Independence","Arkansas","AR",3,"05063"
"147","05065","Izard","Arkansas","AR",1,"05065"
"148","05067","Jackson","Arkansas","AR",0,"05067"
"149","05069","Jefferson","Arkansas","AR",1,"05069"
"150","05071","Johnson","Arkansas","AR",0,"05071"
"151","05073","Lafayette","Arkansas","AR",0,"05073"
"152","05075","Lawrence","Arkansas","AR",1,"05075"
"153","05077","Lee","Arkansas","AR",0,"05077"
"154","05079","Lincoln","Arkansas","AR",0,"05079"
"155","05081","Little River","Arkansas","AR",0,"05081"
"156","05083","Logan","Arkansas","AR",0,"05083"
"157","05085","Lonoke","Arkansas","AR",0,"05085"
"158","05087","Madison","Arkansas","AR",1,"05087"
"159","05089","Marion","Arkansas","AR",0,"05089"
"160","05091","Miller","Arkansas","AR",0,"05091"
"161","05093","Mississippi","Arkansas","AR",0,"05093"
"162","05095","Monroe","Arkansas","AR",0,"05095"
"163","05097","Montgomery","Arkansas","AR",1,"05097"
