"","id","county_name","state_name","population"
"182","13073","Columbia","Georgia",1
"183","13077","Coweta","Georgia",4
"184","13079","Crawford","Georgia",3
"185","13089","DeKalb","Georgia",52
"186","13091","Dodge","Georgia",1
"187","13097","Douglas","Georgia",1
"188","13107","Emanuel","Georgia",15
"189","13113","Fayette","Georgia",11
"190","13115","Floyd","Georgia",1
"191","13117","Forsyth","Georgia",16
"192","13119","Franklin","Georgia",1
"193","13121","Fulton","Georgia",105
"194","13127","Glynn","Georgia",5
"195","13135","Gwinnett","Georgia",58
"196","13139","Hall","Georgia",1
"197","13151","Henry","Georgia",2
"198","13153","Houston","Georgia",17
"199","13157","Jackson","Georgia",4
"200","13161","Jeff Davis","Georgia",2
"201","13169","Jones","Georgia",1
"202","13175","Laurens","Georgia",2
"203","13179","Liberty","Georgia",1
"204","13185","Lowndes","Georgia",2
"205","13205","Mitchell","Georgia",2
"206","13215","Muscogee","Georgia",1
"207","13217","Newton","Georgia",5
"208","13221","Oglethorpe","Georgia",1
"209","13241","Rabun","Georgia",1
"210","13243","Randolph","Georgia",1
"211","13245","Richmond","Georgia",2
"212","13247","Rockdale","Georgia",6
"213","13255","Spalding","Georgia",2
"214","13269","Taylor","Georgia",1
"215","13275","Thomas","Georgia",1
"216","13289","Twiggs","Georgia",1
"217","13297","Walton","Georgia",5
"218","13299","Ware","Georgia",14
"219","13305","Wayne","Georgia",2
"220","13315","Wilcox","Georgia",55
"221","13319","Wilkinson","Georgia",11
"222","66010","Guam","Guam",3
"223","15001","Hawaii","Hawaii",1
"224","15003","Honolulu","Hawaii",24
"225","15007","Kauai","Hawaii",1
"226","16001","Ada","Idaho",10
"227","16005","Bannock","Idaho",1
"228","16019","Bonneville","Idaho",2
"229","16021","Boundary","Idaho",1
"230","16027","Canyon","Idaho",1
"231","16031","Cassia","Idaho",1
"232","16035","Clearwater","Idaho",2
"233","16039","Elmore","Idaho",4
"234","16051","Jefferson","Idaho",1
"235","16053","Jerome","Idaho",1
"236","16055","Kootenai","Idaho",1
"237","16059","Lemhi","Idaho",1
"238","16065","Madison","Idaho",1
"239","16083","Twin Falls","Idaho",1
"240","17001","Adams","Illinois",39
"241","17005","Bond","Illinois",14
"242","17007","Boone","Illinois",89
"243","17009","Brown","Illinois",3
"244","17011","Bureau","Illinois",50
"245","17013","Calhoun","Illinois",1
"246","17015","Carroll","Illinois",18
"247","17017","Cass","Illinois",16
"248","17019","Champaign","Illinois",6060
"249","17021","Christian","Illinois",29
"250","17023","Clark","Illinois",15
"251","17025","Clay","Illinois",9
"252","17027","Clinton","Illinois",29
"253","17029","Coles","Illinois",55
"254","17031","Cook","Illinois",13146
"255","17033","Crawford","Illinois",18
"256","17035","Cumberland","Illinois",20
"257","17037","DeKalb","Illinois",129
"258","17039","De Witt","Illinois",25
"259","17041","Douglas","Illinois",63
"260","17043","DuPage","Illinois",3706
"261","17045","Edgar","Illinois",16
"262","17047","Edwards","Illinois",2
"263","17049","Effingham","Illinois",79
"264","17051","Fayette","Illinois",10
"265","17053","Ford","Illinois",60
"266","17055","Franklin","Illinois",12
"267","17057","Fulton","Illinois",37
"268","17059","Gallatin","Illinois",4
"269","17061","Greene","Illinois",8
"270","17063","Grundy","Illinois",47
"271","17065","Hamilton","Illinois",2
"272","17067","Hancock","Illinois",17
"273","17069","Hardin","Illinois",1
"274","17071","Henderson","Illinois",3
"275","17073","Henry","Illinois",68
"276","17075","Iroquois","Illinois",65
"277","17077","Jackson","Illinois",60
"278","17079","Jasper","Illinois",14
"279","17081","Jefferson","Illinois",7
"280","17083","Jersey","Illinois",24
"281","17085","Jo Daviess","Illinois",20
"282","17087","Johnson","Illinois",8
"283","17089","Kane","Illinois",954
"284","17091","Kankakee","Illinois",124
"285","17093","Kendall","Illinois",191
"286","17095","Knox","Illinois",49
"287","17097","Lake","Illinois",2609
"288","17099","LaSalle","Illinois",157
"289","17101","Lawrence","Illinois",14
"290","17103","Lee","Illinois",40
"291","17105","Livingston","Illinois",36
"292","17107","Logan","Illinois",21
"293","17109","McDonough","Illinois",47
"294","17111","McHenry","Illinois",669
"295","17113","McLean","Illinois",469
"296","17115","Macon","Illinois",156
"297","17117","Macoupin","Illinois",34
"298","17119","Madison","Illinois",226
"299","17121","Marion","Illinois",20
"300","17123","Marshall","Illinois",7
"301","17125","Mason","Illinois",10
"302","17127","Massac","Illinois",6
"303","17129","Menard","Illinois",12
"304","17131","Mercer","Illinois",17
"305","17133","Monroe","Illinois",46
"306","17135","Montgomery","Illinois",26
"307","17137","Morgan","Illinois",34
"308","17139","Moultrie","Illinois",32
"309","17141","Ogle","Illinois",56
"310","17143","Peoria","Illinois",393
"311","17145","Perry","Illinois",12
"312","17147","Piatt","Illinois",86
"313","17149","Pike","Illinois",13
"314","17151","Pope","Illinois",2
"315","17153","Pulaski","Illinois",2
"316","17155","Putnam","Illinois",10
"317","17157","Randolph","Illinois",5
"318","17159","Richland","Illinois",22
"319","17161","Rock Island","Illinois",91
"320","17163","St. Clair","Illinois",228
"321","17165","Saline","Illinois",5
"322","17167","Sangamon","Illinois",336
"323","17169","Schuyler","Illinois",1
"324","17171","Scott","Illinois",9
"325","17173","Shelby","Illinois",14
"326","17175","Stark","Illinois",5
"327","17177","Stephenson","Illinois",31
"328","17179","Tazewell","Illinois",172
"329","17181","Union","Illinois",12
"330","17183","Vermilion","Illinois",115
"331","17185","Wabash","Illinois",7
"332","17187","Warren","Illinois",15
"333","17189","Washington","Illinois",17
"334","17191","Wayne","Illinois",12
"335","17193","White","Illinois",10
"336","17195","Whiteside","Illinois",58
"337","17197","Will","Illinois",1794
"338","17199","Williamson","Illinois",58
"339","17201","Winnebago","Illinois",211
"340","17203","Woodford","Illinois",59
"341","18001","Adams","Indiana",1
"342","18003","Allen","Indiana",9
"343","18005","Bartholomew","Indiana",6
"344","18007","Benton","Indiana",1
"345","18011","Boone","Indiana",6
"346","18015","Carroll","Indiana",1
"347","18017","Cass","Indiana",3
"348","18019","Clark","Indiana",2
"349","18021","Clay","Indiana",1
"350","18023","Clinton","Indiana",1
"351","18029","Dearborn","Indiana",2
"352","18033","DeKalb","Indiana",1
"353","18035","Delaware","Indiana",1
"354","18039","Elkhart","Indiana",3
"355","18045","Fountain","Indiana",1
"356","18047","Franklin","Indiana",1
"357","18053","Grant","Indiana",1
"358","18057","Hamilton","Indiana",32
"359","18059","Hancock","Indiana",2
"360","18063","Hendricks","Indiana",14
"361","18065","Henry","Indiana",1
"362","18067","Howard","Indiana",2
"363","18071","Jackson","Indiana",1
"364","18073","Jasper","Indiana",1
"365","18075","Jay","Indiana",1
"366","18081","Johnson","Indiana",8
"367","18085","Kosciusko","Indiana",1
"368","18089","Lake","Indiana",33
"369","18093","Lawrence","Indiana",1
"370","18095","Madison","Indiana",4
"371","18097","Marion","Indiana",57
"372","18099","Marshall","Indiana",1
"373","18105","Monroe","Indiana",11
"374","18107","Montgomery","Indiana",2
"375","18109","Morgan","Indiana",4
"376","18113","Noble","Indiana",1
"377","18117","Orange","Indiana",1
"378","18121","Parke","Indiana",1
"379","18127","Porter","Indiana",11
"380","18129","Posey","Indiana",1
"381","18133","Putnam","Indiana",1
"382","18135","Randolph","Indiana",1
"383","18137","Ripley","Indiana",1
"384","18139","Rush","Indiana",1
"385","18141","St. Joseph","Indiana",17
"386","18143","Scott","Indiana",2
"387","18145","Shelby","Indiana",1
"388","18147","Spencer","Indiana",1
"389","18151","Steuben","Indiana",1
"390","18153","Sullivan","Indiana",1
"391","18155","Switzerland","Indiana",1
"392","18157","Tippecanoe","Indiana",17
"393","18163","Vanderburgh","Indiana",7
"394","18165","Vermillion","Indiana",1
"395","18167","Vigo","Indiana",3
"396","18169","Wabash","Indiana",1
"397","18171","Warren","Indiana",1
"398","18173","Warrick","Indiana",6
"399","18175","Washington","Indiana",1
"400","18179","Wells","Indiana",1
"401","18181","White","Indiana",1
"402","18183","Whitley","Indiana",1
"403","19001","Adair","Iowa",1
"404","19011","Benton","Iowa",2
"405","19013","Black Hawk","Iowa",3
"406","19015","Boone","Iowa",2
"407","19019","Buchanan","Iowa",1
"408","19023","Butler","Iowa",1
"409","19025","Calhoun","Iowa",1
"410","19027","Carroll","Iowa",1
"411","19033","Cerro Gordo","Iowa",1
"412","19035","Cherokee","Iowa",10
"413","19041","Clay","Iowa",2
"414","19043","Clayton","Iowa",1
"415","19049","Dallas","Iowa",23
"416","19055","Delaware","Iowa",3
"417","19057","Des Moines","Iowa",2
"418","19061","Dubuque","Iowa",8
"419","19069","Franklin","Iowa",2
"420","19071","Fremont","Iowa",2
"421","19077","Guthrie","Iowa",13
"422","19083","Hardin","Iowa",10
"423","19085","Harrison","Iowa",1
"424","19091","Humboldt","Iowa",2
"425","19093","Ida","Iowa",5
"426","19095","Iowa","Iowa",2
"427","19097","Jackson","Iowa",1
"428","19099","Jasper","Iowa",1
"429","19101","Jefferson","Iowa",2
"430","19103","Johnson","Iowa",12
"431","19105","Jones","Iowa",1
"432","19109","Kossuth","Iowa",5
"433","19111","Lee","Iowa",1
"434","19113","Linn","Iowa",8
"435","19121","Madison","Iowa",2
"436","19123","Mahaska","Iowa",3
"437","19127","Marshall","Iowa",7
"438","19129","Mills","Iowa",1
"439","19133","Monona","Iowa",16
"440","19141","O'Brien","Iowa",3
"441","19147","Palo Alto","Iowa",1
"442","19149","Plymouth","Iowa",25
"443","19153","Polk","Iowa",43
"444","19155","Pottawattamie","Iowa",3
"445","19163","Scott","Iowa",19
"446","19167","Sioux","Iowa",6
"447","19169","Story","Iowa",13
"448","19181","Warren","Iowa",22
"449","19183","Washington","Iowa",1
"450","19185","Wayne","Iowa",17
"451","19193","Woodbury","Iowa",17
"452","19197","Wright","Iowa",1
"453","20003","Anderson","Kansas",1
"454","20005","Atchison","Kansas",1
"455","20015","Butler","Kansas",3
"456","20035","Cowley","Kansas",1
"457","20045","Douglas","Kansas",6
"458","20057","Ford","Kansas",1
"459","20065","Graham","Kansas",2
"460","20079","Harvey","Kansas",1
"461","20091","Johnson","Kansas",50
"462","20093","Kearny","Kansas",1
"463","20103","Leavenworth","Kansas",3
"464","20111","Lyon","Kansas",1
"465","20113","McPherson","Kansas",1
"466","20115","Marion","Kansas",2
"467","20121","Miami","Kansas",1
"468","20125","Montgomery","Kansas",1
