"","state_name","state_id","population"
"1","Alabama","AL",55
"2","Alaska","AK",10
"3","American Samoa","AS",0
"4","Arizona","AZ",96
"5","Arkansas","AR",39
"6","California","CA",1350
"7","Colorado","CO",113
"8","Connecticut","CT",115
"9","Delaware","DE",12
"10","District of Columbia","DC",273
"11","Florida","FL",237
"12","Georgia","GA",314
"13","Guam","GU",0
"14","Hawaii","HI",20
"15","Idaho","ID",23
"16","Illinois","IL",31193
"17","Indiana","IN",214
"18","Iowa","IA",270
"19","Kansas","KS",58
"20","Kentucky","KY",202
"21","Louisiana","LA",125
"22","Maine","ME",29
"23","Maryland","MD",223
"24","Massachusetts","MA",192
"25","Michigan","MI",282
"26","Minnesota","MN",220
"27","Mississippi","MS",13
"28","Missouri","MO",261
"29","Montana","MT",8
"30","Nebraska","NE",42
"31","Nevada","NV",21
"32","New Hampshire","NH",27
"33","New Jersey","NJ",414
"34","New Mexico","NM",32
"35","New York","NY",985
"36","North Carolina","NC",108
"37","North Dakota","ND",6
"38","Northern Mariana Islands","MP",2
"39","Ohio","OH",412
"40","Oklahoma","OK",44
"41","Oregon","OR",56
"42","Pennsylvania","PA",233
"43","Puerto Rico","PR",27
"44","Rhode Island","RI",9
"45","South Carolina","SC",33
"46","South Dakota","SD",20
"47","Tennessee","TN",105
"48","Texas","TX",346
"49","Utah","UT",34
"50","Vermont","VT",19
"51","Virgin Islands","VI",0
"52","Virginia","VA",410
"53","Washington","WA",143
"54","West Virginia","WV",48
"55","Wisconsin","WI",188
"56","Wyoming","WY",8
