"","state_name","state_id","population"
"1","Alabama","AL",51
"2","Alaska","AK",9
"3","American Samoa","AS",0
"4","Arizona","AZ",80
"5","Arkansas","AR",32
"6","California","CA",1194
"7","Colorado","CO",102
"8","Connecticut","CT",85
"9","Delaware","DE",9
"10","District of Columbia","DC",263
"11","Florida","FL",227
"12","Georgia","GA",282
"13","Guam","GU",1
"14","Hawaii","HI",19
"15","Idaho","ID",18
"16","Illinois","IL",30367
"17","Indiana","IN",206
"18","Iowa","IA",254
"19","Kansas","KS",53
"20","Kentucky","KY",218
"21","Louisiana","LA",112
"22","Maine","ME",23
"23","Maryland","MD",211
"24","Massachusetts","MA",167
"25","Michigan","MI",249
"26","Minnesota","MN",192
"27","Mississippi","MS",12
"28","Missouri","MO",250
"29","Montana","MT",7
"30","Nebraska","NE",39
"31","Nevada","NV",19
"32","New Hampshire","NH",30
"33","New Jersey","NJ",410
"34","New Mexico","NM",20
"35","New York","NY",932
"36","North Carolina","NC",91
"37","North Dakota","ND",6
"38","Northern Mariana Islands","MP",2
"39","Ohio","OH",407
"40","Oklahoma","OK",46
"41","Oregon","OR",53
"42","Pennsylvania","PA",222
"43","Puerto Rico","PR",27
"44","Rhode Island","RI",7
"45","South Carolina","SC",32
"46","South Dakota","SD",23
"47","Tennessee","TN",88
"48","Texas","TX",299
"49","Utah","UT",33
"50","Vermont","VT",14
"51","Virgin Islands","VI",0
"52","Virginia","VA",348
"53","Washington","WA",128
"54","West Virginia","WV",34
"55","Wisconsin","WI",180
"56","Wyoming","WY",7
