"","state_name","state_id","population"
"1","Alabama","AL",68
"2","Alaska","AK",9
"3","American Samoa","AS",0
"4","Arizona","AZ",176
"5","Arkansas","AR",41
"6","California","CA",2732
"7","Colorado","CO",189
"8","Connecticut","CT",175
"9","Delaware","DE",26
"10","District of Columbia","DC",250
"11","Florida","FL",476
"12","Georgia","GA",503
"13","Guam","GU",3
"14","Hawaii","HI",26
"15","Idaho","ID",28
"16","Illinois","IL",33965
"17","Indiana","IN",300
"18","Iowa","IA",330
"19","Kansas","KS",99
"20","Kentucky","KY",374
"21","Louisiana","LA",165
"22","Maine","ME",41
"23","Maryland","MD",337
"24","Massachusetts","MA",312
"25","Michigan","MI",390
"26","Minnesota","MN",369
"27","Mississippi","MS",24
"28","Missouri","MO",320
"29","Montana","MT",14
"30","Nebraska","NE",51
"31","Nevada","NV",65
"32","New Hampshire","NH",40
"33","New Jersey","NJ",731
"34","New Mexico","NM",45
"35","New York","NY",1173
"36","North Carolina","NC",253
"37","North Dakota","ND",14
"38","Northern Mariana Islands","MP",4
"39","Ohio","OH",483
"40","Oklahoma","OK",60
"41","Oregon","OR",117
"42","Pennsylvania","PA",455
"43","Puerto Rico","PR",35
"44","Rhode Island","RI",28
"45","South Carolina","SC",56
"46","South Dakota","SD",34
"47","Tennessee","TN",172
"48","Texas","TX",858
"49","Utah","UT",67
"50","Vermont","VT",21
"51","Virgin Islands","VI",0
"52","Virginia","VA",687
"53","Washington","WA",416
"54","West Virginia","WV",65
"55","Wisconsin","WI",245
"56","Wyoming","WY",7
